Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,104,2,Apr 8,CHC,,STL,W2-0,GS-7,W(1-0),99,7.0,3,0,0,3,7,0,0,0.00,27,104,65,20,4,7,10,3,2,0,75,,,0,0,0,24,1,0,0,0,0,0,1.13,0.428,3.23,30.15,15.00,1t start tie,7t 3 out tie
2,105,7,Apr 14,CHC,,CIN,L2-3,GS-7,L(1-1),5,6.2,7,3,3,1,5,0,0,1.98,27,110,73,20,7,9,12,5,2,0,52,,,1,0,0,26,2,0,0,0,0,0,.75,-0.105,-0.08,10.60,8.67,1t start tie,7t -2- 2 out  d3
3,106,12,Apr 20,CHC,@,PIT,W5-2,GS-7,W(2-1),5,7.0,4,1,1,0,7,0,0,1.74,26,100,69,18,15,13,6,5,0,0,72,,,1,0,0,26,2,0,0,0,0,1,.89,0.250,2.23,26.95,14.00,1b start tie,7b 3 out  a3
4,107,17,Apr 26,CHC,@,CIN,W5-2,GS-6,W(3-1),5,6.0,4,2,2,3,6,1,0,2.02,25,105,70,21,9,10,6,4,1,0,59,,,1,0,0,22,0,0,0,0,0,0,1.16,0.180,0.79,20.70,11.00,1b start tie,6b 3 out  a3
5,108,22,May 2,CHC,,MIL,L1-6,GS-5,L(3-2),5,5.0,7,4,4,1,6,1,0,2.84,22,90,62,12,8,6,9,5,1,0,42,,,3,1,0,20,0,0,0,0,0,0,.55,-0.239,-1.70,6.85,7.00,1t start tie,5t 3 out  d4
6,109,27,May 7,CHC,@,STL,L1-5,GS-6,L(3-3),4,5.1,9,5,4,1,7,0,0,3.41,25,106,66,16,10,10,7,5,0,0,38,,,1,0,0,24,1,1,1,0,0,0,.74,-0.207,-2.34,7.20,8.33,1b start tie,6b 1-3 1 out  d4
7,110,32,May 12,CHC,,NYM,W6-1,GS-8,W(4-3),4,8.0,3,1,1,2,10,0,0,3.00,26,116,70,24,15,7,7,3,1,0,80,,,0,0,0,23,0,0,0,2,1,0,.79,0.373,2.69,36.40,18.00,1t start tie,8t 3 out  a4
8,111,37,May 17,CHC,,PIT,L0-3,GS-7,L(4-4),4,7.0,5,1,1,1,7,0,0,2.77,25,106,64,22,13,8,9,6,1,0,69,,,0,0,0,24,1,0,0,1,0,0,.97,0.210,2.23,21.75,13.00,1t start tie,7t 3 out  d1
9,112,42,May 23,CHC,@,ARI,W9-6,GS-6,,5,6.0,7,6,3,2,7,1,0,2.95,27,92,61,21,9,10,8,6,0,0,45,,,0,2,0,25,2,0,0,0,0,2,1.10,-0.530,-3.12,13.10,10.00,1b start tie,6b 3 out  d2
10,113,47,May 29,CHC,,KCR,L4-8,GS-7,,5,7.0,8,4,4,0,5,3,0,3.18,28,93,65,18,11,14,9,4,0,0,50,,,0,0,0,28,1,0,0,1,0,0,.67,-0.140,-0.77,8.15,8.00,1t start tie,7t 3 out  d1
11,114,52,Jun 4,CHC,@,WSN,W2-1,GS-6,W(5-4),5,6.0,6,1,1,0,8,0,2,3.04,24,97,63,16,10,5,9,6,1,0,64,,,1,2,0,22,2,0,0,0,0,0,1.49,0.230,1.91,23.10,14.00,1b start a 2,6b 3 out  a1
12,115,57,Jun 10,CHC,@,DET,W12-3,GS-6,W(6-4),5,6.0,8,3,3,1,8,1,0,3.16,25,93,59,16,13,8,8,6,0,0,51,,,0,0,0,24,0,1,0,2,0,0,.67,0.100,-0.14,17.90,12.00,1b start tie,6b 3 out  a3
13,116,62,Jun 16,CHC,,CLE,L0-6,GS-5,L(6-5),5,5.0,3,4,4,6,6,1,0,3.40,24,112,66,22,5,5,7,3,1,0,45,,,3,0,0,18,0,0,0,0,0,0,.72,-0.205,-1.70,11.65,7.00,1t start tie,5t 3 out  d4
14,117,67,Jun 21,CHC,@,MIN,W8-0,SHO,W(7-5),4,9.0,4,0,0,0,7,0,0,3.07,31,122,86,26,8,11,13,6,0,0,86,,,1,0,0,31,1,0,0,1,0,1,.76,0.448,4.51,38.45,17.00,1b start tie,9b 3 out  a8
15,118,72,Jun 26,CHC,@,STL,L2-3,GS-7,,4,7.0,3,1,1,2,7,0,0,2.94,26,102,69,18,13,12,5,1,0,0,72,,,0,0,0,24,1,1,0,0,0,0,1.06,0.322,2.29,24.15,13.00,1b start tie,7b 3 out  a1
16,119,77,Jul 2,CHC,@,NYM,W6-1,GS-8,W(8-5),5,8.0,5,1,1,0,7,0,1,2.80,28,98,67,17,14,10,10,8,0,0,75,,,0,0,0,27,3,0,0,0,0,0,.98,0.285,2.53,27.40,15.00,1b start tie,8b 3 out  a3
17,120,82,Jul 7(1),CHC,,STL,W7-4,GS-7,W(9-5),4,6.2,7,2,2,2,4,0,0,2.80,26,103,60,16,8,7,13,8,1,0,54,,,0,0,1,24,1,0,0,1,0,0,1.06,0.131,0.81,14.60,9.67,1t start tie,7t 12- 2 out  a1
18,121,87,Jul 12,CHC,,CHW,W3-1,CG,W(10-5),4,9.0,2,1,1,0,9,0,0,2.66,29,106,74,21,13,12,8,3,2,0,88,,,0,0,0,28,1,0,0,0,0,0,.84,0.437,3.15,40.35,18.00,1t start tie,9t 3 out  a2
19,122,90,Jul 19,CHC,@,ATL,W4-1,GS-7,W(11-5),6,7.0,3,0,0,3,10,0,0,2.52,27,112,73,19,13,10,4,1,0,0,78,,,2,0,0,24,2,0,0,0,0,0,.93,0.328,3.09,36.15,18.00,1b start tie,7b 3 out  a3
20,123,96,Jul 25,CHC,,PHI,L0-5,GS-6,L(11-6),5,6.0,6,3,3,3,8,1,0,2.61,27,94,58,11,17,10,6,5,0,0,53,,,0,0,0,23,4,0,0,0,0,0,.80,-0.117,-0.23,16.30,11.00,1t start tie,6t 3 out  d3
21,124,101,Jul 30,CHC,@,MIL,W5-2,GS-6,,4,6.0,5,2,2,3,6,0,0,2.62,25,97,61,13,11,10,6,5,0,0,57,,,2,1,0,22,1,0,1,0,0,0,.91,-0.003,0.82,15.50,10.00,1b start tie,6b 3 out  d2
22,125,105,Aug 4,CHC,@,PIT,W5-0,GS-7,W(12-6),4,7.0,2,0,0,3,5,0,0,2.50,24,109,63,18,13,9,7,3,1,0,75,,,0,0,0,21,0,0,0,2,0,0,.69,0.269,3.23,27.35,13.00,1b start a 1,7b 3 out  a5
23,126,110,Aug 9,CHC,,SFG,W2-0,GS-8,W(13-6),4,7.2,4,0,0,2,6,0,1,2.38,30,117,74,20,11,10,11,6,3,0,75,,,2,0,0,27,0,1,0,0,0,0,1.28,0.422,3.47,27.85,14.67,1t start tie,8t 1-- 2 out  a2
24,127,115,Aug 15,CHC,@,CHW,W6-3,GS-7,W(14-6),5,6.2,5,3,2,2,5,0,1,2.39,29,105,66,19,9,16,5,4,0,0,57,,,1,0,0,26,4,0,0,0,0,1,1.23,0.121,0.96,18.40,10.67,1b start tie,7b -2- 2 out  a4
25,128,119,Aug 20,CHC,,ATL,W7-1,GS-6,W(15-6),4,6.0,4,0,0,1,7,0,0,2.30,23,107,75,19,13,15,0,0,0,0,70,,,2,0,0,22,0,0,0,1,0,1,.68,0.207,2.77,26.70,14.00,1t start tie,6t 3 out  a7
26,129,124,Aug 25,CHC,@,SFG,W8-5,GS-7,W(16-6),4,6.0,4,1,0,1,8,0,0,2.22,24,102,63,18,10,7,8,7,1,0,69,,,0,0,0,23,0,0,0,0,0,0,.39,0.166,1.33,28.70,15.00,1b start tie,7b 1-- 0 out  a7
27,130,129,Aug 30,CHC,@,LAD,W2-0,SHO,W(17-6),4,9.0,0,0,0,1,12,0,0,2.11,29,116,80,18,19,8,8,4,1,0,98,,,0,0,0,27,0,0,0,0,0,1,.92,0.571,4.02,58.25,22.00,1b start a 2,9b 3 out  a2
28,131,134,Sep 5,CHC,,ARI,W2-0,GS-8,W(18-6),5,8.0,4,0,0,0,7,0,0,2.03,27,116,76,19,16,12,8,4,0,0,81,,,1,0,0,27,1,0,0,1,0,0,.93,0.471,3.69,31.20,16.00,1t start tie,8t 3 out  a2
29,132,139,Sep 11(1),CHC,@,PHI,W5-1,GS-8,W(19-6),5,8.0,6,1,1,2,7,1,0,1.99,32,112,71,17,13,15,8,6,0,0,71,,,1,0,0,30,0,0,0,0,0,0,.82,0.242,2.72,26.80,15.00,1b start tie,8b 3 out  a4
30,133,145,Sep 16,CHC,@,PIT,W3-2,GS-8,,4,8.0,6,2,1,1,5,0,0,1.96,28,117,80,25,11,17,5,3,0,0,68,,,2,0,0,27,0,0,0,2,0,1,1.64,0.108,1.69,18.80,12.00,1b start tie,8b 3 out tie
31,134,151,Sep 22,CHC,,MIL,W4-0,SHO,W(20-6),5,9.0,3,0,0,1,11,0,0,1.88,31,123,85,15,22,14,5,3,0,0,91,,,0,0,0,30,1,0,0,0,0,0,.74,0.397,4.15,47.65,21.00,1t start tie,9t 3 out  a4
32,135,155,Sep 27,CHC,,PIT,W4-0,GS-7,W(21-6),4,7.0,1,0,0,0,9,0,1,1.82,22,84,54,18,13,7,5,2,2,0,84,,,1,0,0,21,0,0,0,1,0,0,.99,0.386,3.23,35.95,17.00,1t start tie,7t 3 out  a2
33,136,160,Oct 2,CHC,@,MIL,W6-1,GS-6,W(22-6),4,6.0,2,0,0,0,7,0,0,1.77,21,72,48,14,12,11,3,2,1,0,75,,,1,0,0,21,0,0,0,0,0,1,.71,0.271,2.82,29.10,14.00,1b start tie,6b 3 out  a5
